"","Colony","Distance","Mass","Headwidth","Headwidth..mm.","Size.class"
"1","1",1,109,23,1.895,">43"
"2","1",1,120,21,1.811,"40-43"
"3","1",1,94,20,1.768,"40-43"
"4","1",1,61,10,1.389,"30-34"
"5","1",1,72,18,1.726,"40-43"
"6","1",1,134,24,1.937,">43"
"7","1",1,94,21,1.811,"40-43"
"8","1",1,113,20,1.768,"40-43"
"9","1",1,111,20,1.768,"40-43"
"10","1",1,106,21,1.811,"40-43"
"11","1",1,107,24,1.937,">43"
"12","1",1,96,20,1.768,"40-43"
"13","1",1,53,10,1.389,"30-34"
"14","1",1,121,22,1.853,">43"
"15","1",1,85,22,1.853,">43"
"16","1",1,115,23,1.895,">43"
"17","1",1,109,24,1.937,">43"
"18","1",1,105,16,1.642,"35-39"
"19","1",1,93,16,1.642,"35-39"
"20","1",1,103,20,1.768,"40-43"
"21","1",1,110,22,1.853,">43"
"22","1",1,94,17,1.684,"40-43"
"23","1",4,91,20,1.768,"40-43"
"24","1",4,161,24,1.937,">43"
"25","1",4,44,5,1.179,"<30"
"26","1",4,87,17,1.684,"40-43"
"27","1",4,107,24,1.937,">43"
"28","1",4,107,18,1.726,"40-43"
"29","1",4,86,17,1.684,"40-43"
"30","1",4,91,15,1.6,"35-39"
"31","1",4,156,21,1.811,"40-43"
"32","1",4,95,21,1.811,"40-43"
"33","1",4,95,20,1.768,"40-43"
"34","1",4,98,20,1.768,"40-43"
"35","1",4,72,14,1.558,"35-39"
"36","1",4,76,16,1.642,"35-39"
"37","1",4,154,21,1.811,"40-43"
"38","1",4,34,5,1.179,"<30"
"39","1",4,125,25,1.979,">43"
"40","1",4,51,9,1.347,"30-34"
"41","1",4,83,16,1.642,"35-39"
"42","1",4,36,6,1.221,"<30"
"43","1",4,105,20,1.768,"40-43"
"44","1",4,63,13,1.516,"35-39"
"45","1",4,49,10,1.389,"30-34"
"46","1",4,91,20,1.768,"40-43"
"47","1",4,104,21,1.811,"40-43"
"48","1",4,93,23,1.895,">43"
"49","1",4,84,21,1.811,"40-43"
"50","1",4,95,21,1.811,"40-43"
"51","1",4,80,15,1.6,"35-39"
"52","1",4,74,16,1.642,"35-39"
"53","1",4,96,21,1.811,"40-43"
"54","1",4,149,22,1.853,">43"
"55","1",4,107,22,1.853,">43"
"56","1",4,98,20,1.768,"40-43"
"57","1",4,110,24,1.937,">43"
"58","1",7,115,23,1.895,">43"
"59","1",7,107,18,1.726,"40-43"
"60","1",7,105,20,1.768,"40-43"
"61","1",7,96,21,1.811,"40-43"
"62","1",7,70,14,1.558,"35-39"
"63","1",7,96,20,1.768,"40-43"
"64","1",7,127,21,1.811,"40-43"
"65","1",7,131,23,1.895,">43"
"66","1",7,104,17,1.684,"40-43"
"67","1",7,126,24,1.937,">43"
"68","1",7,83,20,1.768,"40-43"
"69","1",7,108,21,1.811,"40-43"
"70","1",7,99,20,1.768,"40-43"
"71","1",7,92,20,1.768,"40-43"
"72","1",7,103,25,1.979,">43"
"73","1",7,104,20,1.768,"40-43"
"74","1",7,107,20,1.768,"40-43"
"75","1",7,120,23,1.895,">43"
"76","1",7,112,21,1.811,"40-43"
"77","1",7,97,18,1.726,"40-43"
"78","1",7,94,20,1.768,"40-43"
"79","1",7,92,17,1.684,"40-43"
"80","1",10,123,22,1.853,">43"
"81","1",10,72,10,1.389,"30-34"
"82","1",10,92,17,1.684,"40-43"
"83","1",10,75,15,1.6,"35-39"
"84","1",10,110,24,1.937,">43"
"85","1",10,97,21,1.811,"40-43"
"86","1",10,93,18,1.726,"40-43"
"87","1",10,88,21,1.811,"40-43"
"88","1",10,82,20,1.768,"40-43"
"89","1",10,101,21,1.811,"40-43"
"90","1",10,110,18,1.726,"40-43"
"91","1",10,75,14,1.558,"35-39"
"92","1",10,81,17,1.684,"40-43"
"93","1",10,99,21,1.811,"40-43"
"94","1",10,103,21,1.811,"40-43"
"95","1",10,114,24,1.937,">43"
"96","1",10,101,24,1.937,">43"
"97","1",10,77,20,1.768,"40-43"
"98","1",10,125,25,1.979,">43"
"99","1",10,90,16,1.642,"35-39"
"100","2",1,148,23,1.895,">43"
"101","2",1,110,23,1.895,">43"
"102","2",1,110,18,1.726,"40-43"
"103","2",1,97,18,1.726,"40-43"
"104","2",1,136,23,1.895,">43"
"105","2",1,115,21,1.811,"40-43"
"106","2",1,101,20,1.768,"40-43"
"107","2",1,158,25,1.979,">43"
"108","2",1,67,13,1.516,"35-39"
"109","2",1,114,20,1.768,"40-43"
"110","2",1,62,12,1.474,"35-39"
"111","2",1,67,13,1.516,"35-39"
"112","2",1,121,23,1.895,">43"
"113","2",1,47,10,1.389,"30-34"
"114","2",1,82,14,1.558,"35-39"
"115","2",1,79,15,1.6,"35-39"
"116","2",1,119,24,1.937,">43"
"117","2",1,111,18,1.726,"40-43"
"118","2",1,47,9,1.347,"30-34"
"119","2",1,75,16,1.642,"35-39"
"120","2",1,60,12,1.474,"35-39"
"121","2",1,104,23,1.895,">43"
"122","2",4,133,24,1.937,">43"
"123","2",4,134,25,1.979,">43"
"124","2",4,73,22,1.853,">43"
"125","2",4,121,22,1.853,">43"
"126","2",4,73,16,1.642,"35-39"
"127","2",4,86,20,1.768,"40-43"
"128","2",4,63,17,1.684,"40-43"
"129","2",4,84,18,1.726,"40-43"
"130","2",4,129,24,1.937,">43"
"131","2",4,106,23,1.895,">43"
"132","2",4,90,17,1.684,"40-43"
"133","2",4,62,15,1.6,"35-39"
"134","2",4,70,16,1.642,"35-39"
"135","2",4,86,22,1.853,">43"
"136","2",4,99,20,1.768,"40-43"
"137","2",4,50,13,1.516,"35-39"
"138","2",4,133,25,1.979,">43"
"139","2",4,74,21,1.811,"40-43"
"140","2",4,140,25,1.979,">43"
"141","2",4,77,14,1.558,"35-39"
"142","2",4,137,24,1.937,">43"
"143","2",4,94,16,1.642,"35-39"
"144","2",7,79,16,1.642,"35-39"
"145","2",7,105,20,1.768,"40-43"
"146","2",7,104,20,1.768,"40-43"
"147","2",7,99,21,1.811,"40-43"
"148","2",7,67,12,1.474,"35-39"
"149","2",7,129,24,1.937,">43"
"150","2",7,97,14,1.558,"35-39"
"151","2",7,126,23,1.895,">43"
"152","2",7,152,24,1.937,">43"
"153","2",7,67,11,1.432,"30-34"
"154","2",7,60,11,1.432,"30-34"
"155","2",7,94,17,1.684,"40-43"
"156","2",7,128,24,1.937,">43"
"157","2",7,101,21,1.811,"40-43"
"158","2",7,44,8,1.305,"30-34"
"159","2",7,119,23,1.895,">43"
"160","2",7,117,23,1.895,">43"
"161","2",7,80,17,1.684,"40-43"
"162","2",7,78,16,1.642,"35-39"
"163","2",7,54,8,1.305,"30-34"
"164","2",7,99,23,1.895,">43"
"165","2",10,137,22,1.853,">43"
"166","2",10,120,20,1.768,"40-43"
"167","2",10,107,20,1.768,"40-43"
"168","2",10,98,21,1.811,"40-43"
"169","2",10,97,23,1.895,">43"
"170","2",10,55,21,1.811,"40-43"
"171","2",10,96,17,1.684,"40-43"
"172","2",10,118,21,1.811,"40-43"
"173","2",10,73,16,1.642,"35-39"
"174","2",10,102,21,1.811,"40-43"
"175","2",10,103,22,1.853,">43"
"176","2",10,97,23,1.895,">43"
"177","2",10,96,21,1.811,"40-43"
"178","2",10,81,20,1.768,"40-43"
"179","2",10,114,20,1.768,"40-43"
"180","2",10,143,25,1.979,">43"
"181","2",10,52,7,1.263,"30-34"
"182","2",10,83,21,1.811,"40-43"
"183","2",10,76,14,1.558,"35-39"
"184","2",10,141,23,1.895,">43"
"185","2",10,99,17,1.684,"40-43"
"186","2",10,154,26,2.021,">43"
"187","2",10,109,20,1.768,"40-43"
"988","1",0,163,24,1.937,">43"
"989","1",0,102,16,1.642,"35-39"
"990","1",0,144,26,2.021,">43"
"991","1",0,115,21,1.811,"40-43"
"992","1",0,108,21,1.811,"40-43"
"993","1",0,68,11,1.432,"30-34"
"994","1",0,107,20,1.768,"40-43"
"995","1",0,141,20,1.768,"40-43"
"996","1",0,111,20,1.768,"40-43"
"997","1",0,55,9,1.347,"30-34"
"998","1",0,112,20,1.768,"40-43"
"999","1",0,100,16,1.642,"35-39"
"1000","2",0,116,21,1.811,"40-43"
"1001","2",0,71,12,1.474,"35-39"
"1002","2",0,146,24,1.937,">43"
"1003","2",0,119,23,1.895,">43"
"1004","2",0,97,20,1.768,"40-43"
"1005","2",0,43,7,1.263,"30-34"
"1006","2",0,127,23,1.895,">43"
"1007","2",0,106,21,1.811,"40-43"
"1008","2",0,79,12,1.474,"35-39"
"1009","2",0,127,23,1.895,">43"
"1010","2",0,114,22,1.853,">43"
"1011","2",0,85,17,1.684,"40-43"
